# x_local, y_local
455317.7216,4443618.0986
455317.7703,4443618.1082
455317.8194,4443618.1158
455317.8688,4443618.1217
455317.9185,4443618.1262
455317.9683,4443618.1299
455318.0181,4443618.1335
455318.0680,4443618.1366
455318.1179,4443618.1397
455318.1677,4443618.1420
455318.2175,4443618.1439
455318.2674,4443618.1457
455318.3173,4443618.1471
455318.3672,4443618.1485
455318.4170,4443618.1500
455318.4669,4443618.1515
455318.5168,4443618.1519
455318.5668,4443618.1519
455318.6167,4443618.1502
455318.6665,4443618.1468
455318.7162,4443618.1433
455318.7657,4443618.1398
455318.8153,4443618.1363
455318.8649,4443618.1330
455318.9146,4443618.1305
455318.9644,4443618.1305
455319.0142,4443618.1315
455319.0640,4443618.1347
455319.1138,4443618.1372
455319.1633,4443618.1373
455319.2126,4443618.1359
455319.2620,4443618.1327
455319.3113,4443618.1274
455319.3606,4443618.1202
455319.4101,4443618.1125
455319.4596,4443618.1064
455319.5092,4443618.1010
455319.5590,4443618.0974
455319.6088,4443618.0943
455319.6587,4443618.0914
455319.7086,4443618.0893
455319.7587,4443618.0872
455319.8086,4443618.0857
455319.8585,4443618.0846
455319.9084,4443618.0842
455319.9583,4443618.0833
455320.0082,4443618.0832
455320.0580,4443618.0842
455320.1077,4443618.0859
455320.1575,4443618.0875
455320.2073,4443618.0884
455320.2570,4443618.0897
455320.3066,4443618.0929
455320.3562,4443618.0972
455320.4058,4443618.1015
455320.4554,4443618.1060
455320.5048,4443618.1120
455320.5542,4443618.1190
455320.6035,4443618.1269
455320.6529,4443618.1346
455320.7026,4443618.1403
455320.7519,4443618.1474
455320.8009,4443618.1558
455320.8497,4443618.1640
455320.8987,4443618.1709
455320.9475,4443618.1779
455320.9964,4443618.1846
455321.0453,4443618.1911
455321.0943,4443618.1995
455321.1435,4443618.2073
455321.1930,4443618.2124
455321.2423,4443618.2182
455321.2915,4443618.2241
455321.3409,4443618.2284
455321.3905,4443618.2307
455321.4402,4443618.2319
455321.4901,4443618.2327
455321.5399,4443618.2352
455321.5897,4443618.2395
455321.6394,4443618.2431
455321.6891,4443618.2468
455321.7388,4443618.2521
455321.7883,4443618.2569
455321.8379,4443618.2606
455321.8876,4443618.2627
455321.9373,4443618.2638
455321.9871,4443618.2653
455322.0367,4443618.2686
455322.0864,4443618.2716
455322.1361,4443618.2748
455322.1858,4443618.2793
455322.2355,4443618.2846
455322.2853,4443618.2887
455322.3350,4443618.2921
455322.3849,4443618.2950
455322.4348,4443618.2974
455322.4847,4443618.2996
455322.5346,4443618.3024
455322.5846,4443618.3048
455322.6345,4443618.3072
455322.6844,4443618.3103
455322.7342,4443618.3138
455322.7840,4443618.3179
455322.8338,4443618.3228
455322.8837,4443618.3270
455322.9334,4443618.3294
455322.9832,4443618.3292
455323.0329,4443618.3271
455323.0826,4443618.3244
455323.1323,4443618.3210
455323.1821,4443618.3179
455323.2318,4443618.3170
455323.2815,4443618.3185
455323.3313,4443618.3217
455323.3811,4443618.3245
455323.4309,4443618.3265
455323.4808,4443618.3273
455323.5306,4443618.3269
455323.5805,4443618.3258
455323.6304,4443618.3234
455323.6803,4443618.3202
455323.7302,4443618.3175
455323.7801,4443618.3158
455323.8301,4443618.3143
455323.8800,4443618.3119
455323.9299,4443618.3103
455323.9798,4443618.3096
455324.0297,4443618.3084
455324.0795,4443618.3062
455324.1293,4443618.3032
455324.1791,4443618.3010
455324.2288,4443618.2993
455324.2786,4443618.2982
455324.3283,4443618.2965
455324.3780,4443618.2938
455324.4277,4443618.2918
455324.4776,4443618.2909
455324.5274,4443618.2891
455324.5771,4443618.2859
455324.6269,4443618.2817
455324.6766,4443618.2785
455324.7263,4443618.2758
455324.7760,4443618.2736
455324.8257,4443618.2720
455324.8754,4443618.2720
455324.9253,4443618.2733
455324.9753,4443618.2755
455325.0252,4443618.2766
455325.0750,4443618.2764
455325.1249,4443618.2743
455325.1748,4443618.2716
455325.2246,4443618.2689
455325.2746,4443618.2663
455325.3245,4443618.2649
455325.3745,4443618.2655
455325.4245,4443618.2669
455325.4745,4443618.2683
455325.5244,4443618.2693
455325.5743,4443618.2694
455325.6242,4443618.2688
455325.6742,4443618.2681
455325.7241,4443618.2673
455325.7740,4443618.2660
455325.8240,4443618.2647
455325.8739,4443618.2635
455325.9238,4443618.2618
455325.9737,4443618.2595
